SKU,Product Title,Product Type,Vendor,Price,Discounted Price,Collection,Color,Tags,Size,Images,Description,Size & Fit,Made in,Composition,Tissue
758760 Y6H681000,ASYMMETRIC PLEATED MIDI SKIRT,Gonna,SAINT LAURENT,"3.290,00","1.213,52",Fall Winter 23 Collection,Nero,"Gonna,Nero,Fall Winter 23 Collection",38,"http://specialshop.atelier98.net/public/foto/fw23---saint%20laurent%20pre---758760y6h681000.jpg,http://specialshop.atelier98.net/public/foto/fw23---saint%20laurent%20pre---758760y6h681000_1_p.jpg","Black, pleated design, asymmetrical design, paperbag waist, hidden back zip fastening and mid-length.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),France,"Triacetate 80%, Polyester 20%",POLYESTER
102902 FACPRT,MIDI SKIRT IN MESH WITH GRADIENT PRINT,Gonna,OTTOLINGER,320.00,141.64,Spring Summer 24 Collection,Rosso,"Gonna,Rosso,Spring Summer 24 Collection",M,"http://specialshop.atelier98.net/public/foto/ss24---ottolinger---102902facprt.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---102902facprt_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---102902facprt_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---102902facprt_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---102902facprt_4_p.jpg","Black/multicolor skirt, recycled polyester blend, mesh design, semi-sheer panels, face print, layered details, elasticated waistband with logo, raw edge and mid-length.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Greece,"Recycled Polyester 73%, Polyamide 15%, Elastane 9%, Metal 3%",RECYCLED POLYESTER
W4085 AURORABROWN,VEST WITH LOGO,Gilet,032C,580.00,209.18,Fall Winter 23 Collection,Marrone,"Gilet,Marrone,Fall Winter 23 Collection",M,"http://specialshop.atelier98.net/public/foto/fw23---032c---w4085aurorabrown.jpg,http://specialshop.atelier98.net/public/foto/fw23---032c---w4085aurorabrown_1_p.jpg","Padded gilet with high neck, front zip fastening, sleeveless, front zip pockets, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,China,Outer: Nylon 100% Lining: Cotton 100% Filling: Duck down 90% Duck feather 10%,NYLON
11221034600 027,SILK MIDI DRESS,Abito corto m/l,MAX MARA,"1.300,00","383,61",Spring Summer 24 Collection,Azzurro,"Abito corto m/l,Azzurro,Spring Summer 24 Collection","40,42,44","http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11221034600027.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11221034600027_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11221034600027_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11221034600027_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11221034600027_4_p.jpg","Short, flared, sleeveless dress with a transparent effect, finished with an American neckline and a wide round neckline on the back, thin laces, metal ends and an invisible zip fastening on the back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100%,SILK
RP01D2361 Y09,WIDE LEG PANTS,Pantalone,RICK OWENS,865.00,326.15,Spring Summer 24 Collection,Nero,"Pantalone,Nero,Spring Summer 24 Collection",40,"http://specialshop.atelier98.net/public/foto/ss24---rick%20owens%20pre---rp01d2361y09.jpg,http://specialshop.atelier98.net/public/foto/ss24---rick%20owens%20pre---rp01d2361y09_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---rick%20owens%20pre---rp01d2361y09_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---rick%20owens%20pre---rp01d2361y09_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---rick%20owens%20pre---rp01d2361y09_4_p.jpg","Trousers with elasticated waist, side pockets, two back pockets with flap, wide leg and front zip fastening",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Viscose 84% Acetate 16%,VISCOSE
PA0164FA-A3H64I FANNY23EC,COTTON FANNY DENIM JEANS,Jeans denim,ISABEL MARANT,550.00,202.87,Fall Winter 23 Collection,Ecru,"Jeans denim,Ecru,Fall Winter 23 Collection",40,"http://specialshop.atelier98.net/public/foto/fw23---isabel%20marant%20pre---pa0164fa-a3h64ifanny23ec.jpg,http://specialshop.atelier98.net/public/foto/fw23---isabel%20marant%20pre---pa0164fa-a3h64ifanny23ec_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---isabel%20marant%20pre---pa0164fa-a3h64ifanny23ec_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---isabel%20marant%20pre---pa0164fa-a3h64ifanny23ec_3_p.jpg","Ecru, cotton blend, denim, decorative stitching details, high waist, button and hidden zip fastening, two side zip pockets, two back patch pockets and straight fit.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Morocco,"Lining: Polyester 65%, Cotton 35% Outer: Cotton 80%, Hemp 20%",COTTON
1704812 BLKPNT,DENIM BANDEAU TOP,Top,OTTOLINGER,415.00,183.69,Spring Summer 24 Collection,Nero,"Top,Nero,Spring Summer 24 Collection",XS,"http://specialshop.atelier98.net/public/foto/ss24---ottolinger---1704812blkpnt.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---1704812blkpnt_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---1704812blkpnt_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---1704812blkpnt_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---ottolinger---1704812blkpnt_4_p.jpg","Black, cotton blend, stretch design, tube shape, strapless, jeans print, decorative zipper detail and detachable and adjustable waist belt.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Turkey,"Cotton 40%, Recycled Polyester 31%, Recycled Cotton 27%, Spandex/Elastane 2%",COTTON MIX
405602 NAVY,HOODED JACKET,Giubbino,OTTOLINGER,"1.215,00","398,36",Fall Winter 23 Collection,Blu,"Giubbino,Blu,Fall Winter 23 Collection","S,M","http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405602navy.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405602navy_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405602navy_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405602navy_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405602navy_4_p.jpg","Navy blue, pumpkin orange, drawstring hood, two-way zip front fastening, back tie fastening, extra-long sleeves and cruelty-free fur lining.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Greece,Polyester 100%,POLYAMIDE
11191014600 005,SILK JACKET,Giacca,MAX MARA,800.00,301.64,Spring Summer 24 Collection,Verde,"Giacca,Verde,Spring Summer 24 Collection","40,42","http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11191014600005.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11191014600005_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11191014600005_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11191014600005_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11191014600005_4_p.jpg","Green shirt, silk, satin, classic lapels, dropped shoulder sleeves, long sleeves, front logo embroidery, two front patch pockets, side slits, asymmetric hem, hidden front button placket.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100%,SILK
FTR425 DE0027448,FLARED JEANS,Jeans denim,AMI PARIS,320.00,131.15,Spring Summer 24 Collection,Azzurro,"Jeans denim,Azzurro,Spring Summer 24 Collection",27,"http://specialshop.atelier98.net/public/foto/ss24---ami%20paris---ftr425de0027448.jpg,http://specialshop.atelier98.net/public/foto/ss24---ami%20paris---ftr425de0027448_1_p.jpg","Blue, cotton, faded denim, contrast stitching, back logo patch, button fastening, flared fit, side slits, classic five-pocket design.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 27 (WAIST CM),Portugal,Cotton 100%,COTTON
OWBA071F23JER001 1001,COTTON CROP SWEATSHIRT WITH LOGO,Felpa g.collo,OFF-WHITE,695.00,227.87,Fall Winter 23 Collection,Nero,"Felpa g.collo,Nero,Fall Winter 23 Collection","XS,S,M,THE","http://specialshop.atelier98.net/public/foto/fw23---off%20white%20main---owba071f23jer0011001.jpg,http://specialshop.atelier98.net/public/foto/fw23---off%20white%20main---owba071f23jer0011001_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---off%20white%20main---owba071f23jer0011001_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---off%20white%20main---owba071f23jer0011001_3_p.jpg","Black cotton sweatshirt, front logo print, crew neck, long sleeves, ribbed cuffs and hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Cotton 100%,COTTON
TSJ565 JEX079AW013,JERSEY SLEEVELESS TOP,Top,TOM FORD,490.00,192.79,Spring Summer 24 Collection,Ecru,"Top,Ecru,Spring Summer 24 Collection","40,42","http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---tsj565jex079aw013.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---tsj565jex079aw013_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---tsj565jex079aw013_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---tsj565jex079aw013_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---tsj565jex079aw013_4_p.jpg","Ecru, ribbed knit, stretch design, wide neckline, sleeveless, spaghetti straps, racerback, gold-tone logo plaque, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,"Viscose 95%, Elastane 5%",JERSEY
405501 GREY,MINI SKIRT WITH ZIP,Gonna,OTTOLINGER,460.00,150.82,Fall Winter 23 Collection,Grigio,"Gonna,Grigio,Fall Winter 23 Collection","M,THE","http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405501grey.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405501grey_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405501grey_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405501grey_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ottolinger---405501grey_4_p.jpg","Slate grey, pumpkin orange, stretch jersey, deconstructed design, faux fur trim, waistband with belt loops, off-centre front fastening, front zip fastening, side zip pocket and asymmetric hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Greece,Polyester 90% Elastoid 10%,POLYESTER
11131034600 005,WIDE SILK TROUSERS,Pantalone,MAX MARA,800.00,236.07,Spring Summer 24 Collection,Verde,"Pantalone,Verde,Spring Summer 24 Collection","40,42","http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131034600005.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131034600005_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131034600005_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131034600005_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131034600005_4_p.jpg","Aqua Green Silk Satin, pressed weave, dart pleat detailing high waisted wide leg, two thigh high side slits, button fly side pockets, concealed front attachment, hook and zip fastening.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100%,SILK
BW90FJ4ZAQ 001,4G JACQUARD TOP,Maglia g.collo,GIVENCHY,720.00,330.49,New Fall Winter 24 collection,Nero,"Maglia g.collo,Nero,New Fall Winter 24 collection",XS,"http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw90fj4zaq001.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw90fj4zaq001_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw90fj4zaq001_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw90fj4zaq001_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw90fj4zaq001_4_p.jpg",Slim fit top with short sleeves in black textured lace and 4G motif,This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,United Kingdom,Viscose 90% Polyamide 5% Polyester 3% Elastane 2%,VISCOSE
773559 XKDUV1165,CASHMERE CARDIGAN,Cardigan,GUCCI,"1.980,00","860,16",Spring Summer 24 Collection,Grigio,"Cardigan,Grigio,Spring Summer 24 Collection","XS,S,M,THE","http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_4_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_5_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---gucci%20cruise---773559xkduv1165_6_p.jpg","Grey cardigan, cashmere, ribbed edge, logo appliqué, V-neck, front button fastening, long sleeves, two front patch pockets, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,100% Cashmere,CASHMERE
768709 TGO081000,ALL-IN DRESS,Abito corto m/l,BALENCIAGA,"3.500,00","1.233,61",Fall Winter 23 Collection,Nero,"Abito corto m/l,Nero,Fall Winter 23 Collection","36,38","http://specialshop.atelier98.net/public/foto/fw23---balenciaga%20main---768709tgo081000.jpg,http://specialshop.atelier98.net/public/foto/fw23---balenciaga%20main---768709tgo081000_1_p.jpg","Black short dress, long sleeves, large fit, asymmetrical dress, knotted neckline at the back, 1 long draped panel on the right, tight at the waist, raw cut hem, invisible zip on the right, long left sleeve with elasticated strap at the cuff.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Italy,fabric 1: polyester 100% fabric 2: polyamide 68% elastane 32% material: elastodiene 65% polyester 35%,POLYESTER
MAK1315 YAX659LB999,LUREX RIBBED POLO,Polo m/l,TOM FORD,"1.150,00","443,03",Spring Summer 24 Collection,Nero,"Polo m/l,Nero,Spring Summer 24 Collection","S,M","http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---mak1315yax659lb999.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---mak1315yax659lb999_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---mak1315yax659lb999_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---mak1315yax659lb999_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---tom%20ford%20pre---mak1315yax659lb999_4_p.jpg",Blouse,This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 66% Metallic polyester 34%,LUREX
11161024600 016,SILK TOP,Top,MAX MARA,275.00,81.15,Spring Summer 24 Collection,Rosa,"Top,Rosa,Spring Summer 24 Collection","40,42","http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11161024600016.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11161024600016_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11161024600016_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11161024600016_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11161024600016_4_p.jpg","Pink top with thin balls, crew neck and open back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100% Lining: Acetate 85% Silk 10% Polyamide 5%,SILK
BW40V415MC 150,WOOL SKIRT,Gonna,GIVENCHY,"1.990,00","880,82",New Fall Winter 24 collection,Ecru,"Gonna,Ecru,New Fall Winter 24 collection","36,38,40","http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw40v415mc150.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw40v415mc150_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw40v415mc150_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw40v415mc150_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw40v415mc150_4_p.jpg","Ecru, wool blend, tweed, insert design, concealed side zip and hook fastening, fully lined, flared design and above the knee length.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Italy,"Wool 94%, Polyester 6%",WOOL
PWHE051C99KNI001 0310,CREW NECK SWEATER IN WOOL BLEND WITH LOGO,Maglia g.collo,PALM ANGELS,365.00,122.66,Spring Summer 24 Collection,Bianco,"Maglia g.collo,Bianco,Spring Summer 24 Collection","XS,S","http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0010310.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0010310_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0010310_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0010310_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0010310_4_p.jpg","This white Palm Angels sweater draws inspiration from vintage pieces and streetwear culture. It is knitted with wool threads and embroidered with a curved Old English logo on the back. Ivory white, wool blend, knitted construction, crew neck, long sleeves, embroidered logo on the back, ribbed trims.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,"Wool 80%, Polyamide 20%",WOOL MIX
DR006WPL BLACK,LONG DRESS WITH HALTER NECKLINE,Abito lungo s/m,LUDOVIC DE SAINT SERNIN,730.00,215.41,Fall Winter 23 Collection,Nero,"Abito lungo s/m,Nero,Fall Winter 23 Collection","M,THE","http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---dr006wplblack.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---dr006wplblack_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---dr006wplblack_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---dr006wplblack_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---dr006wplblack_4_p.jpg","Black, high neck, sleeveless, side tie fastening and floor length.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,France,Polyester 100%,POLYESTER
11041014600 057,DOUBLE BREASTED SILK JACKET,Giacca,MAX MARA,"1.100,00","414,75",Spring Summer 24 Collection,Rosa,"Giacca,Rosa,Spring Summer 24 Collection","38,40","http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11041014600057.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11041014600057_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11041014600057_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11041014600057_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11041014600057_4_p.jpg","Organza with pink silk canvas weave, semi-sheer construction, fabric covered buttons, logo peak lapels, engraved epaulettes, long sleeves with buttoned cuffs, English back vents, welt pocket on the chest, two front pockets",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100%,SILK
BW30JS15MC 150,EMBROIDERED WOOL JACKET,Giacca,GIVENCHY,"4.990,00","2.208,69",New Fall Winter 24 collection,Ecru,"Giacca,Ecru,New Fall Winter 24 collection","36,38,40","http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw30js15mc150.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw30js15mc150_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw30js15mc150_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw30js15mc150_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---givenchy%20pre---bw30js15mc150_4_p.jpg","Ecru, wool blend, tweed, front button fastening, crew neck, beaded trim, frayed edges, shoulder pads, long sleeves, satin lining and frayed hem.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Italy,"Wool 94%, Polyester 6%",WOOL
PWHE051C99KNI001 3001,CREW NECK SWEATER IN WOOL BLEND WITH LOGO,Maglia g.collo,PALM ANGELS,365.00,122.66,Spring Summer 24 Collection,Rosa,"Maglia g.collo,Rosa,Spring Summer 24 Collection","XS,THE","http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0013001.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0013001_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0013001_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0013001_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---palm%20angels%20pre---pwhe051c99kni0013001_4_p.jpg","Light pink, wool blend, ribbed knit, jacquard logo motif, crew neck, long sleeves, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,"Wool 80%, Polyamide 20%",WOOL MIX
8083146 A7028,CHECK PATTERN COTTON SHIRT,Camicia,BURBERRY,620.00,289.67,Spring Summer 24 Collection,Beige,"Camicia,Beige,Spring Summer 24 Collection","4,6,8,10","http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8083146a7028.jpg,http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8083146a7028_1_p.jpg","Beige archive shirt, button down collar, stretch cotton, button front fastening, long sleeves, button cuffs and curved hem.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 8 (UK),Thailand,"Cotton 95%, Elastane 5%",COTTON
KT006UWO001 BROWN,SHORT DRESS IN MERINO WOOL,Abito corto m/l,LUDOVIC DE SAINT SERNIN,490.00,180.74,Fall Winter 23 Collection,Marrone,"Abito corto m/l,Marrone,Fall Winter 23 Collection","S,M,THE","http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---kt006uwo001brown.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---kt006uwo001brown_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---kt006uwo001brown_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---kt006uwo001brown_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---ludovic%20de%20saint%20sernin---kt006uwo001brown_4_p.jpg","Ribbed mini dress with high neck, ribbed knit, long sleeves, straight hem, above the knee length.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,France,Merino Wool 100%,MERINO WOOL
11131014600 057,PALAZZO SILK TROUSERS,Pantalone,MAX MARA,600.00,177.05,Spring Summer 24 Collection,Rosa,"Pantalone,Rosa,Spring Summer 24 Collection",40,"http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131014600057.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131014600057_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131014600057_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131014600057_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---max%20mara%20pianoforte---11131014600057_4_p.jpg","Semi-sheer fuchsia pink silk construction, contrasting panel detail, pleat detail two side slash pockets, pressed pleat two rear welt pockets, internal logo label, full lining wide leg, front closure with",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 100% Lining: Acetate 85% Silk 10% Polyamide 5%,SILK
TMCORE03 101,MRS ROSS LONG KAFTAN,Kaftano,TALLER MARMO,"1.100,00","486,89",New Fall Winter 24 collection,Avorio,"Kaftano,Avorio,New Fall Winter 24 collection",UNI,"http://specialshop.atelier98.net/public/foto/fw24---taller%20marmo%20pre---tmcore03101ivory.jpg,http://specialshop.atelier98.net/public/foto/fw24---taller%20marmo%20pre---tmcore03101ivory_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---taller%20marmo%20pre---tmcore03101ivory_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---taller%20marmo%20pre---tmcore03101ivory_3_p.jpg","Ivory white tone, high neck, attached scarf, keyhole back, long sleeves, asymmetrical design and fringed edge.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size UNI,Italy,ACETATE 100%,ACETATE
FZXA62 AOEPF1MS9,SILK TOP,Maglia g.collo,FENDI,"1.450,00","582,38",Fall Winter 23 Collection,Azzurro,"Maglia g.collo,Azzurro,Fall Winter 23 Collection",40,"http://specialshop.atelier98.net/public/foto/fw23---fendi%20main---fzxa62aoepf1ms9.jpg,http://specialshop.atelier98.net/public/foto/fw23---fendi%20main---fzxa62aoepf1ms9_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---fendi%20main---fzxa62aoepf1ms9_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---fendi%20main---fzxa62aoepf1ms9_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---fendi%20main---fzxa62aoepf1ms9_4_p.jpg",Crew neck sweater with long sleeves and asymmetrical designs on the front.,This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,Silk 98% Viscose 2%,SILK
8082751 B8686,CHECK TRIANGLE BRA,Reggiseno mare,BURBERRY,290.00,123.61,Spring Summer 24 Collection,Beige,"Reggiseno mare,Beige,Spring Summer 24 Collection",S,"http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8082751b8686.jpg,http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8082751b8686_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8082751b8686_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---burberry%20pre---8082751b8686_3_p.jpg","Beige, stretch design, check pattern, triangle cup, tie neck closure, back lace-up closure.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Portugal,"Outer: Polyamide 74%, Elastane 26% Lining: Polyamide 61%, Elastane 39%",NYLON
202084 CR,THE DANNI CASHMERE CARDIGAN,Cardigan,LISA YANG,550.00,166.80,Fall Winter 23 Collection,Crema,"Cardigan,Crema,Fall Winter 23 Collection",1,"http://specialshop.atelier98.net/public/foto/fw23---lisa%20yang---202084cr.jpg,http://specialshop.atelier98.net/public/foto/fw23---lisa%20yang---202084cr_1_p.jpg","Cardigan with applied pockets, ribbed trims and dropped shoulders, V-neck, long sleeves and button fastening.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 1 (NUM),China,100% Cashmere,CASHMERE
